src	tgt
привет	selam
добрый день	paro ci
добрый вечер	paro vecer
спасибо	sukon
пожалуйста	pazhalusta
да	istya
нет	ara
как дела	koda dela
у меня все хорошо	mon paro
меня зовут анна	mon anna
меня зовут иван	mon ivan
это мой дом	te mon kud
это моя книга	te mon kniga
я читаю книгу	mon lovnan kniga
я пишу письмо	mon sormadan pismo
мы учим язык	min tonavtanok kel
он идет домой	son moli kudov
она любит музыку	son veci muzika
город большой	os inezor
деревня маленькая	vele viska
солнце светит	ci valdo
идет дождь	pizeme moli
снег белый	lov oso
вода холодная	ved kelme
хлеб свежий	ksnav od
мама дома	ava kudoso
папа работает	teta rabotai
дети играют	eykakst nalxse
я хочу пить	mon melan simems
я хочу есть	mon melan yams
где школа	koso skola
школа рядом	skola malaso
открой дверь	panak kenks
закрой окно	peketne valma
мы друзья	min yalgat
я тебя понимаю	mon tona sodan
